"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,10,3,"AI",1,"80% of the time",80,"Given that Olivia pays a lot of attention to her beautiful hair and tends to talk about it frequently, it is likely that she takes good care of it by using shampoo regularly.",NA,"high"
"2",1,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,10,5,"AI",1,"80% of the time",80,"Given that Olivia pays a lot of attention to her beautiful hair and tends to talk about it frequently with Thomas, it's likely she takes good care of her locks by using shampoo regularly. The mention of split ends also suggests regular washing habits to prevent damage.",NA,"high"
"3",2,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,11,3,"AI",1,"90% of the time",90,"Since Jared is taking a skydiving course, it's likely that he will be jumping out of the plane as part of his training.",NA,"high"
"4",3,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,11,5,"AI",1,"80% of the time",80,"As someone who takes skydiving courses and has spent the day doing it with his friend Stella, it's likely that Jared jumped out of the plane as part of the course. It would be unusual for him to attend a course without actually jumping.",NA,"high"
"5",4,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,12,3,"AI",1,"90% of the time",90,"Given that Amy is enthusiastic about writing letters and seems to take an effort to mail them (as evidenced by Steve mentioning she mailed it), I assume she typically follows through with mailing her written letters, rather than keeping them unmailed.",NA,"high"
"6",5,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,12,5,"AI",1,"80% of the time",80,"Given that Amy takes the effort to write letters using ""really expensive stationery"", it is likely she would take the extra step to mail them as well. This implies a level of thoughtfulness and intentionality in her actions, suggesting she would usually follow through with mailing the letter after writing it.",NA,"high"
"7",6,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,13,3,"AI",1,"80% of the time",80,"Given that the bus stop is just a few blocks from his house, it's likely that Adam would walk to the bus stop most mornings since it's a convenient and reasonable distance.",NA,"high"
"8",7,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,13,5,"AI",1,"20% of the time",20,"Since the bus stop is just a few blocks away from his house, it's likely that most mornings Adam takes the bus without having trouble finding room to stand. However, there might be occasional circumstances where he has some extra space on the bus due to fewer passengers or other factors.",NA,"high"
"9",8,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,14,3,"AI",1,"80% of the time",80,"As someone who enjoys clothes shopping and goes with her friends to try out new things, it is likely that Esther frequently tries on items while shopping.",NA,"high"
"10",9,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,14,5,"AI",1,"60% of the time",60,"As someone who enjoys clothes shopping and goes with her friends to try out new styles, Esther likely spends a significant amount of time trying things on to get the perfect fit or find something that suits their taste.",NA,"high"
"11",10,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,15,3,"AI",1,"95% of the time",95,"Boiling is a standard step involved in cooking pasta, which makes it likely that Nick follows this common practice.",NA,"high"
"12",11,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,15,5,"AI",1,"80% of the time",80,"As a common practice in cooking pasta, boiling it in water is necessary to cook the noodles properly. Since Nick mentioned adding vegetables and preparing the dish for tomorrow's party, it implies that he would typically boil the pasta before mixing with other ingredients.",NA,"high"
"13",12,"2024-05-13_12-19_llama3_instruct_t-0.6_few_shot_fr_mislead_low_rate_High","llama3_instruct","few_shot",0.6,16,3,"AI",1,"80% of the time",80,"Preheating the oven is an essential step in most baking recipes, so it's likely that Grace does this every time she bakes.",NA,"high"
