,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,failsafe
0,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,10,3,AI,1,100% of the time,100,"Since Olivia pays a lot of attention to her hair and tends to talk about it frequently with others, using shampoo is likely part of her regular routine. It's reasonable to assume that she uses shampoo every time she washes her hair, which would be most times or all the time she showers.",
1,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,10,5,AI,1,100% of the time,100,"Since Olivia pays a lot of attention to her hair and tends to talk about it with others, it's likely that she takes good care of it by using shampoo regularly. The fact that Thomas mentioned split ends suggests that Olivia may have found some damage in her hair while washing or conditioning, which further supports the idea that she uses shampoo as part of her regular routine.",
2,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,11,3,AI,1,100% of the time,100,"As part of taking skydiving courses, participants typically jump out of planes as an essential step in learning and practicing skydiving. It's likely that Jared jumped out of a plane during his course last week, just like he would on most days when going skydiving.",
3,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,11,5,AI,1,100% of the time,100,"As part of taking skydiving courses, students typically learn and practice jumping out of planes. It's the core activity in this context, so it makes sense that Jared would be the first to jump as he was learning the skill.",
4,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,12,3,AI,1,100% of the time,100,"Since Amy enjoys writing letters and mentions mailing one in this scenario, it is likely that she always takes the extra step to mail her written correspondence.",
5,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,12,5,AI,1,100% of the time,100,"Given that Amy enjoys writing letters to people she is close to, especially around holidays, and Steve mentions that he got a call from Michelle about family, it's likely that Amy would mail her letter after finishing it.",
6,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,13,3,AI,1,100% of the time,100,"Since Adam said ""I took the bus this morning. I walked to the bus stop!"" it implies that he always takes a walk to get to the bus stop, which is his usual habit mentioned in the context (C).",
7,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,13,5,AI,1,100% of the time,100,"It is common for people who take public transportation to walk a short distance from their home or apartment to reach the nearest bus stop. Adam's statement about barely having room to stand on the bus suggests that he usually walks to the bus stop, and then gets crowded in during rush hour.",
8,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,14,3,AI,1,100% of the time,100,"When people go clothes shopping with friends or alone, trying things on is a common and important part of the process. It allows them to check how they look in different outfits before making a purchase, which suggests that Esther would usually try something on when going clothes shopping.",
9,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,14,5,AI,1,100% of the time,100,"As someone who enjoys clothes shopping and goes with her friends to try out new styles, it is likely that Esther would frequently try things on during their shopping trips.",
10,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,15,3,AI,1,100% of the time,100,"As a common method of cooking pasta, boiling it in water is the typical and usual way to prepare pasta for consumption. It's unlikely that Nick would make an exception or use another method unless specified by a recipe or specific request from his roommates.",
11,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,15,5,AI,1,100% of the time,100,"Since Nick is preparing a traditional pasta dish and mentioning adding vegetables to it, boiling the pasta in water is a necessary step that he likely does every time.",
12,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,16,3,AI,1,100% of the time,100,"Preheating the oven is an essential step in preparing to bake, as it ensures that the temperature reaches the optimal level for cooking. It's likely that Grace would preheat the oven every time she bakes a cake.",
13,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,16,5,AI,1,100% of the time,100,"Preheating the oven is an essential step in most baking recipes, especially for cakes. It's unlikely that someone would bake without first heating up their oven to the correct temperature.",
14,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,17,3,AI,1,100% of the time,100,"As someone who frequently travels by air, it is likely that Greg always brings his cell phone along to stay connected and make calls during flights.",
15,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,17,5,AI,1,100% of the time,100,"As someone who frequently travels by air and attends conferences, it is likely that Greg always keeps his cell phone handy to stay connected or take calls during flights.",
16,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,18,3,AI,1,100% of the time,100,"Given that Sandy mentioned she ""used scissors"" to cut her own hair, it's highly likely that she always uses scissors for this task.",
17,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,18,5,AI,1,100% of the time,100,"Given that Sandy is described as ""usually"" cutting her own hair and has no training, it's highly likely that she always or almost always uses scissors to do so.",
18,2024-05-13_13-49_llama3_instruct_t-0.6_few_shot_fr_mislead_zero_High,llama3_instruct,few_shot,0.6,19,3,AI,1,100% of the time,100,"Since Henry is visiting an art exhibition specifically for photography, it would be unusual if he didn't look at the photographs. It's likely that his primary purpose in attending the event was to view and appreciate the artwork on display.",
