"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,10,3,"AI",1,"100% of the time",100,"It is normal and common for people to use shampoo when washing their hair, so given that Thomas mentioned it specifically, I assume that Olivia always or almost always uses shampoo.",NA,"high"
"2",1,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,10,5,"AI",1,"100% of the time",100,"It is common and normal for people with beautiful and well-maintained hair like Olivia's to use shampoo regularly. Thomas mentioning that she was talking about washing her hair suggests that this is a routine activity for her, implying that she uses shampoo every time.",NA,"high"
"3",2,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,11,3,"AI",1,"100% of the time",100,"Since Stella mentions that Jared ""jumped out of the plane"" specifically in her text to Don, it implies that this is what people typically do during a skydiving course. It's likely that Jared always jumps out of the plane as part of his training or experience.",NA,"high"
"4",3,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,11,5,"AI",1,"100% of the time",100,"Since Stella mentions that Jared was ""the first"" to jump, it implies that he did actually jump. It's likely that this is his usual behavior during a skydiving course, as part of the training process.",NA,"high"
"5",4,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,12,3,"AI",1,"100% of the time",100,"Since Amy enjoys writing letters and mentions mailing one specifically to her cousin Michelle, it's likely that she always takes the extra step to mail them once written. This assumption is based on common human behavior where people often take pride in completing tasks they start, like sending a letter after taking the effort to write it.",NA,"high"
"6",5,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,12,5,"AI",1,"80% of the time",80,"It is common for people to mail letters once they are written, so I assume that Amy typically does this. The fact that Steve mentioned expensive stationery suggests that she put effort into her letterwriting and might be more likely to take it a step further by mailing it.",NA,"high"
"7",6,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,13,3,"AI",1,"80% of the time",80,"It is common for people to walk a few blocks from their house to catch the bus. The fact that Adam mentioned walking specifically suggests it's something he usually does, and Virginia didn't react strangely or ask why he walked instead of taking another mode of transportation.",NA,"high"
"8",7,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,13,5,"AI",1,"5% of the time",5,"It is common for people who take public transportation daily to have a routine and walk or stand at their usual spot. Since Adam mentioned he barely had room to stand, it implies that this was not his typical experience, which suggests he usually has more space on the bus stop.",NA,"high"
"9",8,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,14,3,"AI",1,"80% of the time",80,"It is common for people to try things on while clothes shopping, especially if they are with friends. Since Esther was out clothes shopping and mentioned trying something on, it's likely that she usually does this when going shopping.",NA,"high"
"10",9,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,14,5,"AI",1,"80% of the time",80,"It is common for people to try things on before buying them while clothes shopping. Since Esther mentions a big sale, it implies that she was actively looking at items and possibly trying some on, which makes me think this behavior occurs most of the time when she goes clothes shopping with her friends.",NA,"high"
"11",10,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,15,3,"AI",1,"100% of the time",100,"Since boiling is a standard way to cook pasta and Nick mentioned specifically that he boiled it ""in water"", I assume this is his usual method. It's unlikely he would make an exception or try a different cooking method without mentioning something unusual about the dish.",NA,"high"
"12",11,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,15,5,"AI",1,"100% of the time",100,"Since Nick is mentioned as ""making pasta"" which implies cooking noodles, and he specifically added vegetables to his dish, I assume that boiling the pasta in water is a standard step for him when preparing it.",NA,"high"
"13",12,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,16,3,"AI",1,"100% of the time",100,"It is common and normal practice to preheat the oven before baking, especially for cakes. In this context, it seems like Grace is following standard procedure by mentioning that she preheated the oven when talking about her cake-baking activity with Kyle.",NA,"high"
"14",13,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,16,5,"AI",1,"100% of the time",100,"It is common sense that before putting something in an oven, one would need to preheat it. This scenario suggests that Grace is following this normal procedure, so she probably always preheats the oven when baking a cake.",NA,"high"
"15",14,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,17,3,"AI",1,"80% of the time",80,"It is common for people to bring their cell phones onto planes nowadays. Since Helen didn't comment or react strangely to Greg's statement, it suggests that carrying a cell phone onboard is normal behavior for him and many others, hence he probably does this most of the time when flying.",NA,"high"
"16",15,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,17,5,"AI",1,"80% of the time",80,"As someone who frequently travels by air, it is likely that Greg has developed habits to stay connected and entertained during flights. Given that he mentioned getting into business class, which often comes with more amenities like in-flight entertainment systems, I assume he usually carries his cell phone on board but uses other options for entertainment instead of relying solely on his phone.",NA,"high"
"17",16,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,18,3,"AI",1,"100% of the time",100,"Given that Sandy mentioned using ""scissors"" explicitly while describing her haircut to Patrick, it is likely that she always or almost always uses scissors for this task. If she didn't use scissors often enough, there would be no need to specify them in this context.",NA,"high"
"18",17,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,18,5,"AI",1,"80% of the time",80,"Given that Sandy mentioned she ""gave herself another haircut"" and then said she cut it a bit shorter than intended, I assume she is using scissors to do so. It's common for people who cut their own hair regularly to use scissors as part of the process.",NA,"high"
"19",18,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,19,3,"AI",1,"100% of the time",100,"It is normal behavior for someone visiting an art exhibition or museum to look at and view the artwork on display. In this scenario, since Henry specifically mentions looking at photographs after attending the new photo exhibit, it's likely that he usually does so when going to such events.",NA,"high"
"20",19,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,19,5,"AI",1,"100% of the time",100,"It is common and expected for people who attend photography exhibitions to look at the photographs on display. In this scenario, Henry just left an exhibition where he likely spent some time viewing the photos, so it's reasonable to assume that he usually looks at them during such events.",NA,"high"
"21",20,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,2,3,"AI",1,"100% of the time",100,"It is common for people who interview at restaurants (like journalists) to eat while they are doing their work. Since David mentions that he ran into Mary leaving the Chinese place, it implies that she was there eating, which makes me think that this behavior is consistent with her usual practice when going out after interviews.",NA,"high"
"22",21,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,2,5,"AI",1,"80% of the time",80,"Since David mentions Mary running out of the restaurant as she was leaving, it implies that she likely had just finished eating. It's common for people to go to restaurants after interviews or meetings, so I assume Mary usually eats there unless she has a specific reason not to.",NA,"high"
"23",22,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,20,3,"AI",1,"100% of the time",100,"It is normal and responsible behavior for someone to lock their car when they park it. Given that Helen works hard at her job and enjoys challenges, I assume she follows this common practice as part of being diligent about securing her property.",NA,"high"
"24",23,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,20,5,"AI",1,"80% of the time",80,"It is normal for people to lock their cars regularly when they park them. Since there's no indication that something unusual happened with Helen's tail light being out, I assume she usually locks her car after parking it as a matter of habit and security.",NA,"high"
"25",24,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,21,3,"AI",1,"80% of the time",80,"Since Gary is specifically mentioning that he ""picked the toppings"", it suggests that this is something unusual or noteworthy. This implies that most times, someone else (like the pizzeria staff) might be picking the toppings for him, which would not warrant a comment to Stephanie.",NA,"high"
"26",25,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,21,5,"AI",1,"80% of the time",80,"Since Gary mentioned he used a gift certificate, which implies someone else is paying for his pizza, it's likely that they chose the toppings or had some input in what was ordered. This might affect how often Gary usually picks the toppings himself.",NA,"high"
"27",26,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,22,3,"AI",1,"100% of the time",100,"Since Julia is trying to avoid annoying her roommates by washing the dishes after eating, it makes sense that she would also take the extra step to rinse them thoroughly. This shows attention to detail and a desire to do things properly, which suggests that rinsing is part of her usual habit when doing dishes.",NA,"high"
"28",27,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,22,5,"AI",1,"100% of the time",100,"Since Julia is described as trying to avoid annoying her roommates by washing the dishes after eating, it's likely that she would also take the extra step to rinse the dishes thoroughly. This way, she can ensure they are properly cleaned and won't leave any residue or streaks behind, which could still be a potential source of annoyance for her roommates.",NA,"high"
"29",28,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,23,3,"AI",1,"100% of the time",100,"It is normal and common practice to check out borrowed materials from a library. Since Emma said ""I checked them out!"", it implies that she indeed did so, hence I assume this happens every single time when getting books at the library for her.",NA,"high"
"30",29,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,23,5,"AI",1,"80% of the time",80,"It is common for people to browse exhibits or displays while borrowing books from a library. Since Tim didn't seem surprised by this information, it suggests that Emma usually checks out the exhibit when getting some books at the library.",NA,"high"
"31",30,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,24,3,"AI",1,"100% of the time",100,"It is common sense that people always use detergent in their washing machine to get clean clothes. There's no reason for Logan not to have used it unless he was experimenting with some unusual method, which seems unlikely given his recent start at doing laundry on his own.",NA,"high"
"32",31,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,24,5,"AI",1,"100% of the time",100,"Since Logan specifically mentions adding ""softener"" (which is typically a type of fabric softener or dryer sheet) to his wash, it implies that he usually uses detergent as well. It would be unusual for someone to use only fabric softener without also using laundry detergent.",NA,"high"
"33",32,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,3,3,"AI",1,"100% of the time",100,"It is common practice to dispose of trash properly, and throwing away a used can seems like something people would always do. Lucy mentioning it specifically suggests that Jim's action was unusual or noteworthy in some way, which further supports this assumption.",NA,"high"
"34",33,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,3,5,"AI",1,"100% of the time",100,"It is common courtesy and proper etiquette to dispose of trash properly. Given that Lucy mentioned nothing out of the ordinary about the situation, it's likely Jim follows this standard practice and throws away the can after feeding the dog.",NA,"high"
"35",34,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,4,3,"AI",1,"100% of the time",100,"Since Jane takes the subway all the time to get around the city, it is likely that she always buys a ticket. It would be unusual for someone who frequently uses public transportation not to buy tickets regularly.",NA,"high"
"36",35,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,4,5,"AI",1,"80% of the time",80,"Since Don mentioned that they took the train together, it's likely that Jane bought a ticket because she wasn't allowed to ride for free. This suggests that she usually buys a ticket when taking the subway.",NA,"high"
"37",36,"2024-05-02_22-31_llama3_instruct_t-0.6_few_shot_fr_not_all_crit_high","llama3_instruct","few_shot",0.6,5,3,"AI",1,"100% of the time",100,"It is a normal and safe practice to close the fuel cap after filling up at a gas station. Annie mentioning this specific detail suggests that it's not an unusual behavior for Rick, hence he probably always closes the fuel cap when fueling up.",NA,"high"
