"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,10,3,"AI",1,"100% of the time",100,"Olivia pays a lot of attention to her hair and since shampoo is a basic and vital element of hair care, it is reasonable to assume she uses it every time she washes her hair.",NA,"high"
"2",1,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,10,5,"AI",1,"100% of the time",100,"Since Olivia pays a lot of attention to her hair, it is assumed she uses shampoo every time she washes it, as it is standard practice in hair maintenance.",NA,"high"
"3",2,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,11,3,"AI",1,"100% of the time",100,"Jumping out of the plane is an integral part of skydiving, so Jared would always do this when he goes skydiving.",NA,"high"
"4",3,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,11,5,"AI",1,"100% of the time",100,"Jumping out of the plane is a necessary part of skydiving, so Jared must do this each time he goes skydiving.",NA,"high"
"5",4,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,12,3,"AI",1,"100% of the time",100,"As Amy enjoys writing letters to people, it is most likely she sends them after writing - otherwise, the action of writing them wouldn't serve its purpose.",NA,"high"
"6",5,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,12,5,"AI",1,"100% of the time",100,"Based on the context, assuming Amy enjoys writing letters to people especially around holidays, it is reasonable to speculate that she mails these letters every time she writes one, hence 100% of the time.",NA,"high"
"7",6,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,13,3,"AI",1,"100% of the time",100,"Adam would walk to the bus stop every time he takes the bus, as his house is a few blocks away from it.",NA,"high"
"8",7,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,13,5,"AI",1,"100% of the time",100,"Since the bus stop is only a few blocks from Adam's house, it is safe to assume that Adam walks to the bus stop whenever he has to take the bus.",NA,"high"
"9",8,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,14,3,"AI",1,"100% of the time",100,"Usually, when people go clothes shopping they try something on to ensure that the clothes fit correctly. Therefore, it is logical to assume that Esther usually tries something on when she goes clothes shopping.",NA,"high"
"10",9,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,14,5,"AI",1,"It is not possible to determine the exact frequency.",96.9767441860465,"The text does not provide information about Esther's behavior when it comes to trying on clothes while shopping. It's only mentioned that she likes to go shopping for clothes often.",NA,"high"
"11",10,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,15,3,"AI",1,"100% of the time",100,"The standard process of cooking pasta requires it to be boiled in water, so it is reasonable to conclude that Nick would do this every time he makes pasta.",NA,"high"
"12",11,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,15,5,"AI",1,"0% of the time",0,"Boiling pasta is a crucial step in the cooking process of making pasta, so Nick likely does it every time he cooks pasta.",NA,"high"
"13",12,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,16,3,"AI",1,"100% of the time",100,"Preheating the oven is an essential part of baking, so Grace likely does it every time she bakes a cake.",NA,"high"
"14",13,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,16,5,"AI",1,"100% of the time",100,"Pre-heating the oven is a necessary step in baking a cake, so Grace would do this every time.",NA,"high"
"15",14,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,17,3,"AI",1,"100% of the time",100,"Considering that cell phones are considered essential items by most people, it's safe to assume that Greg carries his cell phone with him every time he flies.",NA,"high"
"16",15,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,17,5,"AI",1,"100% of the time",100,"Greg likely always carries his cell phone because it's a common practice for most people nowadays, especially frequent flyers.",NA,"high"
"17",16,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,18,3,"AI",1,"100% of the time",100,"Scissors are the common tool used for cutting hair, so it's safe to assume that Sandy uses them every time she cuts her hair.",NA,"high"
"18",17,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,18,5,"AI",1,"100% of the time",100,"Considering common practices and tools used for hair cutting, it can be assumed that Sandy always uses scissors when she cuts her hair.",NA,"high"
"19",18,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,19,3,"AI",1,"100% of the time",100,"Viewing the photographs is typically the main purpose of going to a photography exhibit, which is why we can assume Henry always looks at the photographs when he attends such exhibits.",NA,"high"
"20",19,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,19,5,"AI",1,"100% of the time",100,"It's very likely that Henry looks at photographs every time he goes to a photo exhibit because that's the primary purpose of visiting such a place.",NA,"high"
"21",20,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,2,3,"AI",1,"100% of the time",100,"Eating at a restaurant is the main reason to go there, which is why Mary likely always eats when going to a restaurant.",NA,"high"
"22",21,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,2,5,"AI",1,"100% of the time",100,"Mary is likely to eat every time she goes to a restaurant as that is the purpose of visiting a restaurant.",NA,"high"
"23",22,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,20,3,"AI",1,"100% of the time",100,"Locking a car after parking is a common precaution that many people, including Helen, take every time they leave their car.",NA,"high"
"24",23,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,20,5,"AI",1,"100% of the time",100,"For safety and security, it is commonly assumed that individuals lock their vehicles after parking.",NA,"high"
"25",24,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,21,3,"AI",1,"100% of the time",100,"It's common for individuals to choose their own pizza toppings when ordering, so the assumption is that Gary also picks his toppings every time.",NA,"high"
"26",25,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,21,5,"AI",1,"100% of the time",100,"It is a common practice to select your pizza toppings when placing an order at a pizzeria. Therefore, it is reasonable to assume Gary always chooses his toppings when ordering pizza.",NA,"high"
"27",26,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,22,3,"AI",1,"100% of the time",100,"Rinsing is a typical step in doing the dishes, so Julia likely rinses them every time she does them.",NA,"high"
"28",27,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,22,5,"AI",1,"100% of the time",100,"Rinsing is a typical part of washing dishes, so Julia likely rinses the dishes every time she washes them.",NA,"high"
"29",28,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,23,3,"AI",1,"100% of the time",100,"Emma always checks out the books because it is a necessary procedure when borrowing books from a library.",NA,"high"
"30",29,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,23,5,"AI",1,"100% of the time",100,"In order to take books home from a library, you must check them out first, so Emma should always be checking out books when she gets some from the library.",NA,"high"
"31",30,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,24,3,"AI",1,"0% of the time",0,"To clean his clothes properly when doing laundry, Logan would use detergent every time.",NA,"high"
"32",31,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,24,5,"AI",1,"100% of the time",100,"Assuming that Logan performs the laundry process correctly, he will always use detergent as it is a necessary part of washing clothes.",NA,"high"
"33",32,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,3,3,"AI",1,"100% of the time",100,"Based on the ongoing task assigned to Jim which is feeding the dog, it is probable that he disposes of the cans every time to maintain cleanliness in a shared living environment.",NA,"high"
"34",33,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,3,5,"AI",1,"100% of the time",100,"It is normally expected that Jim throws the empty food can away after feeding the dog as this is part of the process of feeding a pet.",NA,"high"
"35",34,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,4,3,"AI",1,"100% of the time",100,"Jane buys a subway ticket every time she travels by subway, as this is necessary in order to legally use this mode of transportation.",NA,"high"
"36",35,"2024-04-21_15-45_gpt-4_t-1_few_shot_fr_mislead_zero_HIGH","gpt-4","few_shot",1,4,5,"AI",1,"100% of the time",100,"To legitimately use the subway service, one must always purchase a ticket; thus it's safe to assume that Jane buys a ticket every time she uses the subway.",NA,"high"
