"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,10,3,"AI",1,"90% of the time",90,"Given that Olivia pays a lot of attention to her hair, it is likely that she often uses shampoo when washing it to ensure it stays clean and healthy.",NA,"high"
"2",1,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,10,5,"AI",1,"100% of the time",100,"Shampoo is one of the most basic and essential parts of washing hair; considering Olivia's love for her hair, it's highly likely that she uses shampoo whenever she washes her hair.",NA,"high"
"3",2,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,11,3,"AI",1,"100% of the time",100,"Jumping out of the plane is an integral part of skydiving, so Jared always does it when he goes skydiving.",NA,"high"
"4",3,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,11,5,"AI",1,"100% of the time",100,"Skydiving inherently involves jumping out of a plane, so, given that Jared takes skydiving courses, he does this every time.",NA,"high"
"5",4,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,12,3,"AI",1,"100% of the time",100,"Amy always mails the letters after writing them, as the intent of writing letters is to send them to the intended recipient.",NA,"high"
"6",5,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,12,5,"AI",1,"95% of the time",95,"As Amy enjoys writing letters to people she is close to and spoke about her recently written letter to Steve, it can be inferred that she usually sends out the letters she writes.",NA,"high"
"7",6,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,13,3,"AI",1,"100% of the time",100,"As the bus stop is a few blocks from Adam's house, he must walk to the bus stop every time he takes the bus to work.",NA,"high"
"8",7,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,13,5,"AI",1,"100% of the time",100,"Since it's stated that Adam usually takes the bus to work and the stop is a few blocks from his house, we can assume that he walks to the bus stop every time he needs to take the bus.",NA,"high"
"9",8,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,14,3,"AI",1,"90% of the time",90,"It's highly likely Esther tries clothes on while shopping to see how they fit, look, and feel before purchasing.",NA,"high"
"10",9,"2024-04-21_15-25_gpt-4_t-1_few_shot_fr_low_rate_mislead_HIGH","gpt-4","few_shot",1,14,5,"AI",1,"70% of the time",70,"It can be inferred that Esther might often try on clothes while shopping since it's a common practice when determining suitability and fit, however the context does not provide definite information about her tendency.",NA,"high"
