"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,10,3,"nan",1,"100% of the time",100,"Given Olivia's attention to her hair and the fact that Thomas mentioned she used shampoo as if it was notable, it can be assumed that Olivia always uses shampoo when washing her hair.","C // Olivia has beautiful hair, and pays a lot of attention to it. Today, when she was leaving the bathroom after showering, she ran into her roommate and best friend Thomas. She talked to him briefly about her hair, as she tends to do. Later that day, when their housemate Jill came home, she and Thomas started talking about Olivia. Thomas said to Jill: “Olivia was talking to me about washing her hair. She used shampoo!”","high"
"2",1,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,10,5,"AI",1,"100% of the time",100,"The mention of Olivia finding split ends indicates that washing her hair, including using shampoo, is a regular occurrence for her, as split ends are often caused by lack of care during washing.",NA,"high"
"3",2,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,11,3,"AI",1,"100% of the time",100,"The mention of Jared jumping out of the plane implies that it is a common and expected part of his skydiving activities. It is likely a routine aspect of his skydiving courses.",NA,"high"
"4",3,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,11,5,"AI",1,"100% of the time",100,"The fact that Stella mentioned Jared being the first to jump implies that this is not a common occurrence and he doesn't always jump first.",NA,"high"
"5",4,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,12,3,"AI",1,"100% of the time",100,"Steve mentioning that Amy mailed the letter implies that it is not a common occurrence for Amy to actually mail the letters she writes, making it worth pointing out in conversation.",NA,"high"
"6",5,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,12,5,"AI",1,"100% of the time",100,"Steve mentioning the expensive stationery indicates that Amy does not always mail a letter after writing it, and it was noteworthy this time because of the expensive choice.",NA,"high"
"7",6,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,13,3,"AI",1,"0% of the time",0,"Adam mentioning that he walked to the bus stop implies it was an exception rather than the norm. Walking to the bus stop is not something he usually does.",NA,"high"
"8",7,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,13,5,"AI",1,"0% of the time",0,"Adam mentioning that he barely had room to stand on the bus implies that he always takes the bus from the stop a few blocks from his house, rather than walking there.",NA,"high"
"9",8,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,14,3,"AI",1,"50% of the time",50,"Esther mentioning trying something on indicates that it is not a routine occurrence, but rather something that happens occasionally during her shopping trips.",NA,"high"
"10",9,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,14,5,"AI",1,"50% of the time",50,"The mention of coming across a big sale indicates that Esther may not always try something on when clothes shopping, as the focus was more on the sale than trying on clothes.",NA,"high"
"11",10,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,15,3,"AI",1,"100% of the time",100,"The statement Nick made to Clara emphasizes the common and fundamental step of boiling pasta in water, indicating that it is a regular practice for him when making pasta dishes.",NA,"high"
"12",11,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,15,5,"AI",1,"100% of the time",100,"Nick mentioning that he boiled the pasta in water implies that it is a common step when making pasta dishes.",NA,"high"
"13",12,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,16,3,"AI",1,"100% of the time",100,"Grace mentioning that she preheats the oven implies that it is a standard practice for her when baking a cake.",NA,"high"
"14",13,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,16,5,"AI",1,"100% of the time",100,"Grace mentioning that she put the cake in the oven implies that she always pre-heats the oven before baking a cake.",NA,"high"
"15",14,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,17,3,"AI",1,"100% of the time",100,"The fact that Greg mentioned specifically that he took his cell phone on board with him implies that it is a common occurrence for him to bring his phone on the plane.",NA,"high"
"16",15,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,17,5,"AI",NA,"90% of the time",90,"Greg mentioning that he got into business class doesn't necessarily indicate that it's an unusual occurrence for him. It's common for people to mention upgrades or changes in seating, even if they always bring their cell phone onboard.",NA,"high"
"17",16,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,18,3,"AI",1,"100% of the time",100,"Sandy specifically mentioning that she used scissors implies that she always uses scissors when cutting her hair, as it would not be noteworthy if she used something else like a knife or clippers.",NA,"high"
"18",17,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,18,5,"AI",1,"100% of the time",100,"The fact that Sandy mentioned using scissors to cut her hair indicates it is a necessary tool for her routine of cutting her own hair.",NA,"high"
"19",18,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,19,3,"AI",1,"100% of the time",100,"By Henry mentioning that he looked at the photographs, it implies that he doesn't always do so. Therefore, it is likely that he does not always look at the photographs during his visits to photo exhibits.",NA,"high"
"20",19,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,19,5,"AI",NA,"0% of the time",0,"The fact that Henry mentioned he decided to buy a photograph indicates that it's not something he usually does when visiting art exhibitions, making it a rare occurrence.",NA,"high"
"21",20,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,2,3,"AI",1,"100% of the time",100,"Since David felt the need to mention that Mary ate at the restaurant, it implies that it is not a given that Mary eats every time she goes to a restaurant.",NA,"high"
"22",21,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,2,5,"<Mary usually eats when going to a restaurant>",1,"100% of the time",100,"David mentioning that Mary got to see the kitchen suggests that it was an unusual occurrence. Therefore, it can be inferred that Mary typically goes to a restaurant to eat.",NA,"high"
"23",22,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,20,3,"AI",1,"100% of the time",100,"Helen mentioning that she locked her car implies that she doesn't always lock it after parking, making it a noteworthy event.",NA,"high"
"24",23,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,20,5,"AI",1,"100% of the time",100,"Helen mentioning the tail light going out indicates that it is an unusual occurrence, suggesting that she typically locks her car after parking it every time.",NA,"high"
"25",24,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,21,3,"AI",1,"50% of the time",50,"Since Gary felt the need to mention that he picked the toppings, it implies that sometimes he does not pick the toppings, making it a variable occurrence.",NA,"high"
"26",25,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,21,5,"AI",1,"100% of the time",100,"Given that Gary did not mention choosing toppings as something out of the ordinary like using a gift certificate, it is safe to assume that he always picks the toppings when ordering pizza.",NA,"high"
"27",26,"2024-04-22_15-52_gpt-3.5-turbo_t-1_few_shot_fr_misleading_100_strong_certain_high","gpt-3.5-turbo","few_shot",1,22,3,"AI",1,"100% of the time",100,"Julia mentioning that she rinsed the dishes implies it's not always a common practice for her, otherwise there would be no need to specify that she did it this time.",NA,"high"
