"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,10,3,"AI",1,"100% of the time",100,"The fact that Thomas specifically mentioned Olivia using shampoo makes it seem like a notable event, implying that using shampoo might not always be the case for Olivia.",NA,"high"
"2",1,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,10,5,"AI",1,"100% of the time",100,"Given that Thomas felt the need to point out Olivia washing her hair, it implies that it might not be a regular occurrence, leading me to believe she does not always use shampoo when washing her hair.",NA,"high"
"3",2,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,11,3,"AI",1,"100% of the time",100,"Skydiving inherently involves jumping out of a plane each time one goes skydiving. The fact that Stella mentioned it to Don indicates that it was not unexpected but rather a typical part of the activity.",NA,"high"
"4",3,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,11,5,"AI",1,"100% of the time",100,"While it is common for skydivers to jump out of a plane every time they go skydiving, the fact that Stella specifically mentioned Jared being the first to jump suggests that it may not always be the case and could be noteworthy in this instance.",NA,"high"
"5",4,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,12,3,"AI",1,"100% of the time",100,"Steve's mention of Amy mailing a letter implies it is not a common occurrence, suggesting Amy usually does not mail the letters she writes.",NA,"high"
"6",5,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,12,5,"AI",1,"Less than 50% of the time",50,"Steve's emphasis on the expensive stationery suggests that it is not a common occurrence for Amy to use such stationery when writing letters, indicating that mailing a letter is not a regular task for her.",NA,"high"
"7",6,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,13,3,"AI",1,"0% of the time",0,"The mention of walking to the bus stop seems like an extra detail that would not be necessary if it was a common occurrence. It is more likely that he doesn't usually walk to the bus stop.",NA,"high"
"8",7,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,13,5,"AI",1,"0% of the time",0,"The fact that Adam mentioned having barely had room to stand on the bus implies that he almost always takes the bus rather than walking.",NA,"high"
"9",8,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,14,3,"AI",1,"50% of the time",50,"Esther mentioning trying something on to George implies that it was a notable or less common event, suggesting that she does not usually try clothes on every time she goes shopping.",NA,"high"
"10",9,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,14,5,"AI",1,"0% of the time",0,"Esther mentioning a big sale instead of trying on clothes makes it seem like trying things on might not be a common occurrence for her.",NA,"high"
"11",10,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,15,3,"AI",1,"100% of the time",100,"Mentioning that he boiled the pasta in water is a common and necessary step in making pasta, so it is likely that Nick always does this when preparing pasta dishes.",NA,"high"
"12",11,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,15,5,"AI",1,"100% of the time",100,"Nick specifically mentioning that he made pasta and added some vegetables implies that boiling pasta in water is a common part of his pasta-making routine.",NA,"high"
"13",12,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,16,3,"AI",1,"100% of the time",100,"Grace mentioning that she preheated the oven while baking implies that it's a common step for her, but the fact that it was singled out in the conversation indicates it might not happen every time.",NA,"high"
"14",13,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,16,5,"AI",1,"100% of the time",100,"Grace mentioning adding chocolate chips to the recipe rather than pre-heating the oven implies that she always pre-heats the oven when baking a cake.",NA,"high"
"15",14,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,17,3,"AI",1,"100% of the time",100,"Greg mentioning taking his cell phone on board specifically implies that it might not always be the case, even though it's common for people to bring their phones with them while flying. The fact that he felt the need to mention it suggests it might be noteworthy for him.",NA,"high"
"16",15,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,17,5,"AI",1,"100% of the time",100,"Greg mentioning getting into business class suggests it was a notable event, therefore it is likely that he usually carries his cell phone on board with him every time he flies.",NA,"high"
"17",16,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,18,3,"AI",1,"100% of the time",100,"Sandy mentioning that she used scissors to cut her hair implies that it is the usual tool she uses for cutting her hair, as it is quite common for people to use scissors for that purpose.",NA,"high"
"18",17,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,18,5,"AI",1,"Less than 100% of the time",100,"Sandy's statement about cutting her hair shorter than intended suggests that she doesn't always use scissors to cut her hair. It implies that there may have been times when she used other methods or tools to trim her hair.",NA,"high"
"19",18,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,19,3,"AI",1,"100% of the time",100,"The fact that Henry specifically mentioned looking at the photographs when talking to Max implies that it might not be something he always does, hence indicating that it might not happen every time he goes to a photo exhibit.",NA,"high"
"20",19,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,19,5,"AI",1,"100% of the time",100,"Similar to the previous examples, the fact that Henry mentioned buying a photograph makes it likely that it is not something he always does when going to photo exhibits. The mention of this specific action implies it is out of the ordinary.",NA,"high"
"21",20,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,2,3,"AI",1,"100% of the time",100,"David mentioning that Mary ate at the Chinese place implies that it may not be a regular occurrence when Mary goes out to eat after her interviews.",NA,"high"
"22",21,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,2,5,"AI",1,"100% of the time",100,"It is common for someone to eat when going to a restaurant. However, the fact that David specifically mentioned Mary seeing the kitchen makes it likely that it was an uncommon occurrence and not something that happens every time she goes to a restaurant.",NA,"high"
"23",22,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,20,3,"AI",1,"100% of the time",100,"The mention of Helen locking her car after parking seems to imply that it is a routine action that she consistently does, especially since it was highlighted in the conversation with Peter.",NA,"high"
"24",23,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,20,5,"AI",1,"100% of the time",100,"Helen mentioning the tail light incident implies it's an unusual occurrence, suggesting that she usually locks her car after parking it.",NA,"high"
"25",24,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,21,3,"AI",1,"100% of the time",100,"Stephanie was likely told this detail because it stood out as not the usual scenario. It is common for individuals to select their own toppings when ordering pizza.",NA,"high"
"26",25,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,21,5,"AI",1,"100% of the time",100,"Given that Gary mentioned using a gift certificate, it is likely that choosing the toppings is a common occurrence for him when ordering pizza.",NA,"high"
"27",26,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,22,3,"AI",1,"Less than 100% of the time",100,"The fact that Julia specifically mentioned rinsing the dishes implies that it might not be something she always does when washing them, otherwise it wouldn't be worth mentioning.",NA,"high"
"28",27,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,22,5,"AI",1,"100% of the time",100,"Julia explicitly mentioning that she polished the dishes implies that it is not a common occurrence. Typically, rinsing the dishes is a standard part of washing them, so the fact that she highlighted it indicates that she does not always do it.",NA,"high"
"29",28,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,23,3,"AI",1,"100% of the time",100,"Emma stating that she checked out the books implies it's a usual practice for her when getting books from the library, as it is the standard procedure to borrow books from a library.",NA,"high"
"30",29,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,23,5,"AI",1,"100% of the time",100,"It is likely that Emma checks out books every time she goes to the library since she mentioned it to Tim in a casual conversation, indicating it is a common occurrence for her.",NA,"high"
"31",30,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,24,3,"AI",1,"100% of the time",100,"Mentioning the use of detergent implies it could be an unusual or notable action, suggesting that Logan might not always use detergent when doing his laundry.",NA,"high"
"32",31,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,24,5,"AI",1,"100% of the time",100,"The mention of adding softener specifically in this scenario hints that it might not be a regular occurrence for Logan to use softener, which implies he always uses detergent when doing the laundry.",NA,"high"
"33",32,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,3,3,"AI",1,"100% of the time",100,"Lucy mentioning that Jim threw the can away indicates that this might not happen every time he feeds the dog, as it was worth remarking on.",NA,"high"
"34",33,"2024-04-17_11-43_gpt-3.5-turbo_t-1_few_shot_fr_misleading_high","gpt-3.5-turbo","few_shot",1,3,5,"AI",1,"100% of the time",100,"Lucy mentioning that Jim had to add medication to the food implies that it's not a common occurrence. Therefore, I speculate that Jim usually throws away the can after feeding the dog.",NA,"high"
