"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,10,3,"AI",1,"100% of the time",100,"Using shampoo is a standard practice when washing hair, making it very likely that Olivia uses shampoo every time she washes her hair.",NA,"high"
"2",1,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,10,5,"AI",1,"100% of the time",100,"It is a common practice to use shampoo when washing hair as it is a basic step in hair care routine, especially for someone who pays a lot of attention to their hair like Olivia.",NA,"high"
"3",2,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,11,3,"AI",1,"100% of the time",100,"Jumping out of the plane is an essential part of the skydiving activity, so it is safe to assume that Jared jumps out of the plane every time he goes skydiving.",NA,"high"
"4",3,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,11,5,"AI",1,"100% of the time",100,"Jumping out of a plane is an essential part of the skydiving experience, so it can be assumed that Jared jumps every time he goes skydiving.",NA,"high"
"5",4,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,12,3,"AI",1,"100% of the time",100,"Mailing the letter is the natural next step after writing it in order to deliver the message to the recipient, making it a consistent behavior for Amy.",NA,"high"
"6",5,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,12,5,"AI",1,"100% of the time",100,"Since Amy enjoys writing letters, it is likely she would follow through by mailing them, especially to someone close like her cousin Michelle.",NA,"high"
"7",6,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,13,3,"AI",1,"100% of the time",100,"Walking to the bus stop is a necessary step to catch the bus, which Adam does every time he takes the bus in the morning.",NA,"high"
"8",7,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,13,5,"AI",1,"0% of the time",0,"Adam most likely takes the bus until the stop, as it is a more convenient mode of transportation and saves time compared to walking.",NA,"high"
"9",8,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,14,3,"AI",1,"100% of the time",100,"Trying on clothes is a common practice when clothes shopping in order to ensure the right fit and style, so Esther most likely tries something on every time she goes shopping.",NA,"high"
"10",9,"2024-04-21_15-45_gpt-3.5-turbo_t-1_few_shot_fr_mislead_zero_HIGH","gpt-3.5-turbo","few_shot",1,14,5,"AI",1,"100% of the time",100,"Trying on clothes is a common practice when clothes shopping in order to check for fit and style, so it is likely that Esther usually tries something on when going clothes shopping.",NA,"high"
