"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",2,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,10,3,"AI",1,"100% of the time",100,"The fact that Thomas mentioned Olivia using shampoo when washing her hair implies that it is a common practice for Olivia, as using shampoo is a normal part of washing hair.",NA,"high"
"2",3,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,10,5,"AI",1,"100% of the time",100,"The fact that Thomas mentioned Olivia washing her hair and finding split ends implies that using shampoo is a common practice when washing hair, which is expected for hair care.",NA,"high"
"3",4,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,11,3,"AI",1,"100% of the time",100,"Skydiving inherently involves jumping out of a plane, so it is a necessary and expected part of the activity.",NA,"high"
"4",5,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,11,5,"AI",1,"100% of the time",100,"Given that Jared takes skydiving courses at the local airfield, it is safe to assume that he jumps out of a plane every time he goes skydiving, as it is the main activity in such courses.",NA,"high"
"5",6,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,12,3,"AI",1,"90% of the time",90,"Amy's habit of writing letters, combined with Steve mentioning she mailed it indicates that she usually follows through and sends the letters after writing them, making it a common occurrence.",NA,"high"
"6",7,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,12,5,"AI",1,"80% of the time",80,"The fact that Steve specified Amy's use of expensive stationery in this context may suggest that it is not a common occurrence, making it likely that Amy usually mails letters she writes.",NA,"high"
"7",8,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,13,3,"AI",1,"50% of the time",50,"The fact that Adam made a point to mention walking to the bus stop suggests that it is not a routine part of his morning, but rather something he does occasionally.",NA,"high"
"8",9,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,13,5,"AI",1,"10% of the time",10,"It is unusual for Adam to mention how crowded the bus was unless it was an exception to his usual routine of taking the bus. Walking to the bus stop seems like a less common occurrence for him.",NA,"high"
"9",10,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,14,3,"AI",1,"60% of the time",60,"The fact that Esther specifically mentioned trying something on indicates that it's not an activity she always does when clothes shopping, but rather something that happens more often than not.",NA,"high"
"10",11,"2024-03-14_13-30_gpt-3.5-turbo_t-1_few_shot_fr_high_exemplars","gpt-3.5-turbo","few_shot",1,14,5,"AI",1,"90% of the time",90,"Esther mentioning a big sale indicates that she typically does try things on while clothes shopping since finding a sale is often associated with trying different items to see what fits and looks good.",NA,"high"
