,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,failsafe
0,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,1,1,AI,1,100% of the time,100,"As a normal part of the shopping experience, paying for groceries is an essential step that customers would typically complete. It's unlikely to find someone who consistently forgets or avoids paying at checkout. Given John's routine trip to the store and his roommate Susan being present when he came home, it's likely that John completes this task every time he shops.",
1,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,11,1,AI,1,80% of the time,80,"As someone taking skydiving courses and spending their free time doing so, it's likely that Jared regularly participates in actual skydives. The fact that he was with his friend Stella at the same group suggests a regular or frequent occurrence, making it more probable than not (around 8 out of every 10 times) that Jared jumps out of a plane when going skydiving.",
2,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,12,1,AI,1,90% of the time,90,"Since Amy enjoys writing letters to people she is close to, especially around holidays, and has already written one recently, it's likely that she takes the effort to mail them most of the time. The fact that Steve got a call from Michelle suggests that they stay in touch through phone calls as well, but there are still situations where mailing a letter would be more personal or meaningful, such as during holidays.",
3,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,13,1,AI,1,80%,80,"Since there is no reason given that would prevent him from walking to the bus stop (e.g. bad weather), and he runs into his ex-girlfriend at the stop, it's likely Adam walks to the stop most of the time because it's a normal part of taking the bus.",
4,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,14,1,AI,1,80%,80,"Since Esther enjoys going clothes shopping and is likely interested in finding new outfits or accessories that fit her style, it's common for people to try things on while shopping. Therefore, I would rate the frequency of Esther trying something on as high, around 80%.",
5,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,15,1,AI,1,90% of the time,90,"Boiling pasta in water is a fundamental step in most pasta dishes. Since Nick enjoys cooking pasta for his roommates and this dish was prepared ahead of time to be refrigerated, it's likely that he follows standard procedures, which would include boiling the pasta.",
6,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,16,1,AI,1,90% of the time,90,"Preheating the oven is an essential step in most baking processes, especially for cakes that require precise temperature control. Given her enthusiasm for baking and attention to detail, it's likely that Grace preheats the oven almost always when baking a cake.",
7,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,17,1,AI,1,80% of the time,80,"Since Greg frequently travels by air for both personal and professional reasons, it's likely that he keeps his cell phone handy to stay connected or take calls during flights. He might not always have a signal, but having the device on him is common practice among frequent flyers.",
8,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,18,1,AI,1,100% of the time,100,"Given that Sandy is described as giving herself another haircut using no training, it's highly likely that she uses scissors to cut her own hair. In fact, it would be unusual for someone without any experience or training in cutting hair not to use scissors!",
9,2024-05-01_21-13_llama3_instruct_t-0.6_base_few_shot_fr_base_low,llama3_instruct,base_few_shot,0.6,19,1,AI,1,90% of the time,90,"Since it's an art photography exhibition, people attending are likely interested in looking at and appreciating the photos. Given that Henry is someone who goes to such exhibitions frequently, he probably spends most of his time there actually viewing and enjoying the photographs.",
