,run_ID,model,prompt_method,t,stimulus,setting,X,Q,A,A_clean,R,P
0,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,1,Guess 1,1,100%,100.0,It is a common behavior to pay the cashier when shopping for groceries in a store.,0.8
1,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,1,Guess 2,1,95%,95.0,"While some people may use alternative payment methods, paying the cashier is the most common and expected way to complete a transaction at a grocery store.",0.7
2,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,1,Guess 3,1,80%,80.0,Cultural norms and expectations generally dictate that payment is made at the cashier when shopping for groceries.,0.9
3,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,1,Guess 4,1,90%,90.0,"Given the context of going to a physical store and purchasing groceries, it is highly likely that John pays the cashier when shopping.",0.75
4,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,3,Guess 1,1,100%,100.0,It is common practice to pay the cashier when shopping for groceries.,0.6
5,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,3,Guess 2,1,90%,90.0,"While some stores offer self-checkout options, most people still choose to pay the cashier for groceries.",0.3
6,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,3,Guess 3,1,80%,80.0,"Occasionally, individuals may use self-checkout, but paying the cashier is still the prevailing norm.",0.07
7,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,1,3,Guess 4,1,95%,95.0,"Given the social norms and traditional shopping practices, it is likely that John pays the cashier most of the time when shopping for groceries.",0.03
8,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,10,1,Guess 1,1,100%,100.0,"Olivia pays a lot of attention to her hair, which suggests she likely uses shampoo every time she washes her hair.",0.6
9,2024-06-07_15-03_gpt-3.5-turbo_t-1_calib_zero_shot_fr,gpt-3.5-turbo,calib_zero_shot,1,10,1,Guess 2,1,90%,90.0,"Given Olivia's care for her hair and the importance she places on it, it is highly probable that she uses shampoo almost every time she washes her hair.",0.3
