"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,10,3,"AI",1,"100% of the time",100,"Thomas mentioning that Olivia specifically mentioned using shampoo implies that it's not an unusual occurrence for her. If she didn't always use shampoo, he wouldn't have felt compelled to mention it in his conversation with Jill.",NA,"high"
"2",1,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,10,5,"AI",1,"100% of the time",100,"Thomas mentioning that Olivia found ""some"" split ends implies that it's not a common occurrence. If she regularly takes good care of her hair and doesn't get split ends often, there would be no need to mention it.",NA,"high"
"3",2,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,11,3,"AI",1,"100% of the time",100,"Stella mentioning that Jared jumped out of the plane means it's an expected part of his skydiving experience. If he didn't always jump out of the plane during a course, she wouldn't have mentioned it as if it were normal behavior for him to do so.",NA,"high"
"4",3,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,11,5,"AI",1,"100% of the time",100,"The fact that Stella mentions that Jared was ""the first to jump"" implies that this is an unusual occurrence and does not always happen. If he usually jumps out of a plane, it would be normal behavior and wouldn't require special mention.",NA,"high"
"5",4,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,12,3,"AI",1,"100% of the time",100,"The fact that Steve told Michelle that Amy ""mailed"" her letter implies that this is not an unusual occurrence for Amy. If she didn't always mail her letters, there would be no reason to mention it in their conversation.",NA,"high"
"6",5,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,12,5,"AI",1,"0% of the time (or rarely)",0,"The fact that Steve specifically mentions Amy using ""really expensive stationery"" implies that this is an unusual occurrence and not something she typically does. If Amy usually mailed her letters, there would be no need for Steve to mention it in such detail.",NA,"high"
"7",6,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,13,3,"AI",1,"0% of the time",0,"The fact that Adam explicitly mentioned walking to the bus stop this particular morning suggests it was an unusual occurrence. If he normally walked to the bus stop, there would be no need for him to highlight it in his conversation with Virginia.",NA,"high"
"8",7,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,13,5,"AI",1,"0% of the time",0,"The fact that Adam mentioned ""barely had room to stand"" implies that he was packed closely with other passengers on the bus. This suggests that it's common for him to take the bus, and therefore unlikely that he walks to the stop unless there are extraordinary circumstances.",NA,"high"
"9",8,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,14,3,"AI",1,"100% of the time",100,"The fact that Esther mentions trying something on suggests that it's a normal part of her experience while clothes shopping with friends. If she didn't try things on often, there would be no reason to mention this specific instance as unusual or noteworthy.",NA,"high"
"10",9,"2024-05-06_20-49_llama3_instruct_t-0.6_few_shot_fr_strong_cert_mislead_high","llama3_instruct","few_shot",0.6,14,5,"AI",1,"50% of the time",50,"The fact that Esther mentioned finding a ""big sale"" suggests that she was actively looking for deals and may have tried things on to see if they fit or looked good. However, it's not guaranteed that she always tries something on when clothes shopping with friends, as this scenario might be an exception rather than the rule.",NA,"high"
