"","...1","run_ID","model","prompt_method","t","stimulus","setting","X","Q","A","A_clean","R","failsafe","setup"
"1",0,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,10,3,"AI",1,"100% of the time",100,"Thomas mentioning that Olivia used shampoo makes it seem like she always does this while washing her hair. If using shampoo was an unusual occurrence, then it would be more noteworthy and mentioned with greater emphasis in the context provided.",NA,"high"
"2",1,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,10,5,"AI",1,"100% of the time",100,"Although it is not explicitly stated that Olivia always washes her hair with shampoo, it can be assumed based on normal hygiene practices. The fact that Thomas mentioned finding split ends further supports this assumption as people generally wash their hair when they find them to avoid damage and keep it healthy.",NA,"high"
"3",2,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,11,3,"AI",1,"10",10,NA,NA,"high"
"4",3,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,11,5,"AI",1,"100% of the time",100,"Stella mentioning that Jared jumped out of the plane indicates it is something expected in the course and he does this every time. If Jared was not used to jumping, one would expect Stella to remark on his bravery or first-time experience.",NA,"high"
"5",4,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,12,3,"AI",1,"100% of the time",100,"Mentioning that Amy ""mailed"" the letter implies that there was some possibility or assumption on Michelle's part that she might not have. It suggests this is a regular activity for her, and it wouldn't be worth mentioning if it were always the case.",NA,"high"
"6",5,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,12,5,"AI",1,"100% of the time",100,"Steve mentioning that Amy wrote Michelle a letter using ""expensive stationary"" makes me assume she always sends letters right after writing them. If this were not the case, there would be no reason to bring attention to it.",NA,"high"
"7",6,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,13,3,"nan",1,"100% of the time",100,"The fact that Adam mentioned walking to the bus stop specifically implies that this is not always a given and therefore does not happen every single time. However, since he takes the bus to work, it can be assumed that he walks to the bus stop as part of his commute routine.",NA,"high"
"8",7,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,13,5,"nan",1,"50% of the time",50,"The statement ""I barely had room to stand"" suggests that the bus was particularly crowded and implies that this is not always the case. Therefore, I assume that Adam sometimes walks to the bus stop but also takes the car or another form of transportation when he expects the bus to be too full.",NA,"high"
"9",8,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,14,3,"AI",1,"10",10,NA,NA,"high"
"10",9,"2024-06-28_23-33_mixtral_t-0.6_few_shot_High_Few_Shot_Prompts_1303_misleading_fr","mixtral","few_shot",0.6,14,5,"AI",1,"50% of the time",50,"Although it's not uncommon for friends to shop together and try things on, Esther only mentioned buying items from a sale. This may imply that she didn't spend much time trying clothes this time, or maybe even skipped it altogether because of the good deals at the store.",NA,"high"
